排名,电影名,网址,演员,发布日期及地点
1,我不是药神,https://www.maoyan.com/films/1200486,"徐峥,王传君,周一围",2018/7/5
,,,,
2,肖申克的救赎,https://www.maoyan.com/films/1200486,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10(加拿大)
,,,,
3,海上钢琴师,https://www.maoyan.com/films/1297,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",2019/11/15
,,,,
4,绿皮书,https://www.maoyan.com/films/1292,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",2019/3/1
,,,,
5,霸王别姬,https://www.maoyan.com/films/1206605,"张国荣,张丰毅,巩俐",1993/7/26
,,,,
6,美丽人生,https://www.maoyan.com/films/1203,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",2020/1/3
,,,,
7,这个杀手不太冷,https://www.maoyan.com/films/1303,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",1994-09-14(法国)
,,,,
8,星际穿越,https://www.maoyan.com/films/4055,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",2014/11/12
,,,,
9,小偷家族,https://www.maoyan.com/films/78341,"中川雅也,安藤樱,松冈茉优",2018/8/3
,,,,
10,怦然心动,https://www.maoyan.com/films/1216365,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",2010-07-26(美国)
,,,,
11,盗梦空间,https://www.maoyan.com/films/416,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010/9/1
,,,,
12,泰坦尼克号,https://www.maoyan.com/films/416,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998/4/3
,,,,
13,哪吒之魔童降世,https://www.maoyan.com/films/267,"吕艳婷,囧森瑟夫,瀚墨",2019/7/26
,,,,
14,阿甘正传,https://www.maoyan.com/films/1211270,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",1994-07-06(美国)
,,,,
15,楚门的世界,https://www.maoyan.com/films/1633,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚)
,,,,
16,千与千寻,https://www.maoyan.com/films/1304,"柊瑠美,周冬雨,井柏然",2019/6/21
,,,,
17,触不可及,https://www.maoyan.com/films/1212,"弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼",2011-11-02(法国)
,,,,
18,寻梦环游记,https://www.maoyan.com/films/70976,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",2017/11/24
,,,,
19,辛德勒的名单,https://www.maoyan.com/films/342068,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30(美国)
,,,,
20,情书,https://www.maoyan.com/films/3667,"中山美穗,丰川悦司,酒井美纪",1999/3/1
,,,,
21,少年派的奇幻漂流,https://www.maoyan.com/films/995,"苏拉·沙玛,伊尔凡·可汗,塔布",2012/11/22
,,,,
22,何以为家,https://www.maoyan.com/films/995,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",2019/4/29
,,,,
23,摔跤吧！爸爸,https://www.maoyan.com/films/1218727,"阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",2017/5/5
,,,,
24,忠犬八公的故事,https://www.maoyan.com/films/588362,"Forest,理查·基尔,琼·艾伦",2009-06-13(美国)
,,,,
25,放牛班的春天,https://www.maoyan.com/films/38286,"热拉尔·朱诺,弗朗西斯·贝尔兰德,凯德·麦拉德",2004/10/16
,,,,
26,小丑,https://www.maoyan.com/films/1205,"杰昆·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",2019-10-04(美国)
,,,,
27,当幸福来敲门,https://www.maoyan.com/films/1215201,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008/1/17
,,,,
28,死亡诗社,https://www.maoyan.com/films/899,"罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德",1989-06-02(加拿大)
,,,,
29,看不见的客人,https://www.maoyan.com/films/1204,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多",2017/9/15
,,,,
30,三傻大闹宝莱坞,https://www.maoyan.com/films/458721,"阿米尔·汗,卡琳娜·卡普,马德哈万",2011/12/8
,,,,
31,天堂电影院,https://www.maoyan.com/films/718,"菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",2021/6/11
,,,,
32,熔炉,https://www.maoyan.com/films/718,"孔刘,郑裕美,金智英",2011-09-22(韩国)
,,,,
33,活着,https://www.maoyan.com/films/67214,"葛优,巩俐,牛犇",1994-05-17(法国)
,,,,
34,教父,https://www.maoyan.com/films/1375,"马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩",1972-03-14(美国)
,,,,
35,你的名字。,https://www.maoyan.com/films/1247,"上白石萌音,佟心竹,神木隆之介",2016/12/2
,,,,
36,头号玩家,https://www.maoyan.com/films/344881,"泰伊·谢里丹,奥利维亚·库克,本·门德尔松",2018/3/30
,,,,
37,龙猫,https://www.maoyan.com/films/341178,"秦岚,糸井重里,岛本须美",2018/12/14
,,,,
38,被嫌弃的松子的一生,https://www.maoyan.com/films/123,"中谷美纪,永山瑛太,伊势谷友介",2006-05-27(日本)
,,,,
39,疯狂动物城,https://www.maoyan.com/films/20394,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",2016/3/4
,,,,
40,闻香识女人,https://www.maoyan.com/films/246286,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23(美国)
,,,,
41,末代皇帝,https://www.maoyan.com/films/2039,"尊龙,陈冲,彼得·奥图尔",1987-10-04(日本)
,,,,
42,心灵奇旅,https://www.maoyan.com/films/2039,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",2020/12/25
,,,,
43,超脱,https://www.maoyan.com/films/553231,"阿德里安·布劳迪,马西娅·盖伊·哈登,詹姆斯·凯恩",2011-04-25(美国)
,,,,
44,三块广告牌,https://www.maoyan.com/films/65496,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",2018/3/2
,,,,
45,海蒂和爷爷,https://www.maoyan.com/films/342754,"阿努克·斯特芬 ,布鲁诺·冈茨,昆林·艾格匹",2019/5/16
,,,,
46,机器人总动员,https://www.maoyan.com/films/337625,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27(美国)
,,,,
47,一一,https://www.maoyan.com/films/488,"吴文钦,金燕玲,李凯莉",2017-07-28(中国台湾)
,,,,
48,西西里的美丽传说,https://www.maoyan.com/films/1383,"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",2000-10-26 00:00:00(意大利)
,,,,
49,本杰明·巴顿奇事,https://www.maoyan.com/films/1284164,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25(美国)
,,,,
50,海边的曼彻斯特,https://www.maoyan.com/films/18318,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",2017/8/25
,,,,
51,让子弹飞,https://www.maoyan.com/films/182,"姜文,周润发,葛优",2010/12/16
,,,,
52,布达佩斯大饭店,https://www.maoyan.com/films/182,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",2014-02-06(德国)
,,,,
53,消失的爱人,https://www.maoyan.com/films/78449,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",2014-09-26(美国)
,,,,
54,美国往事,https://www.maoyan.com/films/78997,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015/4/23
,,,,
55,美丽心灵,https://www.maoyan.com/films/1332,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001-12-13(美国)
,,,,
56,乱世佳人,https://www.maoyan.com/films/11473,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国)
,,,,
57,阿凡达,https://www.maoyan.com/films/7431,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010/1/4
,,,,
58,搏击俱乐部,https://www.maoyan.com/films/243,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-09-10(意大利)
,,,,
59,爱在黎明破晓前,https://www.maoyan.com/films/1291,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",1995-01-27(美国)
,,,,
60,窃听风暴,https://www.maoyan.com/films/4587,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23(德国)
,,,,
61,飞屋环游记,https://www.maoyan.com/films/614,"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井",2009/8/4
,,,,
62,低俗小说 4K,https://www.maoyan.com/films/614,"约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫",1994-05-21(法国)
,,,,
63,飞越疯人院,https://www.maoyan.com/films/1239,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19(美国)
,,,,
64,复仇者联盟4：终局之战,https://www.maoyan.com/films/1322,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",2019/4/24
,,,,
65,无间道,https://www.maoyan.com/films/248172,"刘德华,梁朝伟,黄秋生",2003/9/5
,,,,
66,蝴蝶效应,https://www.maoyan.com/films/224973,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",2004-01-23(美国)
,,,,
67,大话西游之大圣娶亲,https://www.maoyan.com/films/1368,"周星驰,朱茵,莫文蔚",2014/10/24
,,,,
68,天使爱美丽,https://www.maoyan.com/films/158,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",2001-04-25(比利时)
,,,,
69,天空之城,https://www.maoyan.com/films/1314,"田中真弓,横泽启子,初井言荣",2023/6/1
,,,,
70,时空恋旅人,https://www.maoyan.com/films/1228,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国)
,,,,
71,爱在日落黄昏时,https://www.maoyan.com/films/1287,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",2015/4/20
,,,,
72,心灵捕手,https://www.maoyan.com/films/1287,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",1997-12-05(美国)
,,,,
73,控方证人,https://www.maoyan.com/films/1575,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",1957-12-17(美国)
,,,,
74,罗马假日,https://www.maoyan.com/films/4430,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-08-20(意大利)
,,,,
75,春光乍泄,https://www.maoyan.com/films/2641,"张国荣,梁朝伟,张震",1997-05-30(中国香港)
,,,,
76,穿条纹睡衣的男孩,https://www.maoyan.com/films/1597,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-08-28(英国)
,,,,
77,七宗罪,https://www.maoyan.com/films/38099,"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",1995-09-22(美国)
,,,,
78,重庆森林,https://www.maoyan.com/films/1321,"梁朝伟,王菲,金城武",1994-07-14(中国香港)
,,,,
79,釜山行,https://www.maoyan.com/films/1290,"孔刘,郑裕美,马东锡",2016-05-13 00:00:00(法国)
,,,,
80,菊次郎的夏天,https://www.maoyan.com/films/343203,"北野武,关口雄介,岸本 加世子",2020/9/25
,,,,
81,花束般的恋爱,https://www.maoyan.com/films/1300821,"有村架纯,菅田将晖,细田佳央太",2022/2/22
,,,,
82,猫鼠游戏,https://www.maoyan.com/films/1300821,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",2003/4/11
,,,,
83,辩护人,https://www.maoyan.com/films/11105,"宋康昊,郭度沅,吴达洙",2013-12-18(韩国)
,,,,
84,钢琴家,https://www.maoyan.com/films/246433,"阿德里安·布劳迪,艾米莉娅·福克斯,米乔·赞布罗斯基",2002-05-24(法国)
,,,,
