Rank,Title,URL,Score,Regions,Release_date,Actors
1,这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,"['法国', '美国']",1994-09-14,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔', '迈克尔·巴达鲁科', '艾伦·格里尼', '伊丽莎白·瑞根', '卡尔·马图斯维奇', '弗兰克·赛格', '麦温', '乔治·马丁', '罗伯特·拉萨多', '亚当·布斯奇', '马里奥·托迪斯科', '萨米·纳塞利', '埃莱娜·卡多纳', '让·雨果·安格拉德', '沈晓谦', '大塚明夫', 'Keith A. Glascoe', 'Arsène Jiroyan', '米歇尔·蒙塔纳里']"
2,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.3,"['美国', '新西兰']",2004-03-12,"['伊利亚·伍德', '西恩·奥斯汀', '维果·莫腾森', '奥兰多·布鲁姆', '伊恩·麦克莱恩', '肖恩·宾', '多米尼克·莫纳汉', '丽芙·泰勒', '约翰·贝西', '凯特·布兰切特', '比利·博伊德', '萨德文·布罗菲', '阿利斯泰尔·布朗宁', '马尔顿·索克斯', '伯纳德·希尔', '伊安·霍姆', '布鲁斯·霍普金斯', '伊恩·休斯', '劳伦斯·马克奥雷', '诺埃尔·阿普利比', '布雷特·麦肯齐', 'Alexandra Astin', 'Sarah McLeod', 'Maisy McLeod-Riera', '约翰·诺贝尔', 'Paul Norell', '米兰达·奥图', '布鲁斯·菲利普斯', '沙恩·朗吉', '约翰·瑞斯-戴维斯', '托德·里彭', '安迪·瑟金斯', 'Harry Sinclair', '乔尔·托贝克', '卡尔·厄本', '史蒂芬·乌瑞', '雨果·维文', '大卫·文翰', '阿兰·霍华德', '萨拉·贝克', 'Robert Pollock', '佩特·史密斯', '杰德·布罗菲', '菲利普·格里夫', '布拉德·道里夫', '克里斯托弗·李', '布鲁斯·斯宾斯', '吉诺·阿赛维多', 'Jarl Benzon', 'Jørn Benzon', 'Robert Catto', 'Michael Elsworth', '彼得·杰克逊', 'Sandro Kopp', '安德鲁·莱斯尼', '约瑟夫·米卡-亨特', '亨利·莫腾森', '克雷格·帕克', '克里斯蒂安·瑞沃斯', '迈克尔·斯曼内科 ', '霍华德·肖', '约翰·斯蒂芬森', '理查德·泰勒', '张磊', '姜广涛', '周志强', '金永钢']"
3,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.2,"['美国', '英国']",2008-07-14,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔', '加里·奥德曼', '摩根·弗里曼', '莫尼克·加布里埃拉·库尔内', '罗恩·迪恩', '基里安·墨菲', '黄经汉', '内斯特·卡博内尔', '埃里克·罗伯茨', '里特奇·科斯特', '安东尼·迈克尔·豪尔', '基斯·斯扎拉巴基克', '柯林·麦克法兰', '约书亚·哈尔托', '美琳达·麦格劳', '内森·甘宝', '迈克尔·维约', '迈克尔·斯托扬诺夫', '威廉·斯米利', '丹尼·高德林', '迈克尔·加·怀特', '马修·奥尼尔', '威廉·菲克纳', '欧鲁米基·欧拉乌米', '格雷格·比姆', '爱利克·赫尔曼', '毕崔斯·罗森', '文森佐·尼克力', '陈冠希', '玛丽扎·卡布蕾拉', '蒂娜·西蒙斯', '罗南·萨莫尔斯', '利萨·麦克阿里斯特', '大卫·达斯马齐连', '理查德·迪兰', '亚当·卡莱佩里斯']"
4,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,9.2,"['美国', '新西兰']",2003-04-25,"['伊利亚·伍德', '西恩·奥斯汀', '多米尼克·莫纳汉', '奥兰多·布鲁姆', '维果·莫腾森', '伊恩·麦克莱恩', '凯特·布兰切特', '比利·博伊德', '杰德·布罗菲', '丽芙·泰勒', '安迪·瑟金斯', '米兰达·奥图', '雨果·维文', '布拉德·道里夫', '卡卢姆·吉廷斯', '伯纳德·希尔', '布鲁斯·霍普金斯', '克里斯托弗·李', '纳撒尼尔·利斯', '罗宾·马尔科姆', '约翰·贝西', '萨拉·贝克', '克雷格·帕克', '布鲁斯·菲利普斯', 'Robert Pollock', '约翰·瑞斯-戴维斯', '奥利维亚·田內', '卡尔·厄本', '史蒂芬·乌瑞', '大卫·文翰', '菲利普·格里夫', '肖恩·宾', '约翰·诺贝尔', 'Jarl Benzon', 'Jørn Benzon', 'Ben Britton', '阿利斯泰尔·布朗宁', 'Sean Button', 'Robert Catto', '罗德尼·库克', '卡尔洛斯·德林克沃特', '西奥沙福瓦', '本·弗兰舍姆', 'Jonathan Harding', 'Lucas Hayward', '丹·汉纳', '保罗·霍姆斯', '杰森霍德', '彼得·杰克逊', 'Sam Kelly', 'Sandro Kopp', '姜广涛', '张磊', '陆建艺', '金永钢', '劳伦斯·马克奥雷', '布鲁克·奥佩斯', '周志强']"
5,七武士,https://movie.douban.com/subject/1295399/,9.3,['日本'],1954-04-26,"['三船敏郎', '志村乔', '津岛惠子', '岛崎雪子', '藤原釜足', '加东大介', '木村功', '千秋实', '宫口精二', '小杉义男', '左卜全', '稻叶义男', '土屋嘉男', '高堂国典', '东野英治郎', '上田吉二郎', '多多良纯', '渡边笃', '小川虎之助', '山形勋', '上山草人', '清水元', '高木新平', '大友伸', '高原骏雄', '稻垣三郎', '堺左千夫', '千石规子', '本间文子', '大久保正信', '伊藤实', '大村千吉', '广濑正一', '宇野晃司', '谷晃', '中岛春雄', '清水美恵', '熊谷卓三', '夏木顺平', '岩本弘司', '堤康久', '马野都留子', '森今日子', '加藤武', '仲代达矢', '宇津井健', '山本廉', '登山晴子', '林幹', '东静子']"
6,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,9.1,"['新西兰', '美国']",2002-04-04,"['伊利亚·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆', '多米尼克·莫纳汉', '比利·博伊德', '克里斯托弗·李', '马尔顿·索克斯', '梅根·爱德华兹', '伊安·霍姆', '凯特·布兰切特', '阿兰·霍华德', '马克·弗格森', '肖恩·宾', '萨拉·贝克', '劳伦斯·马克奥雷', '安迪·瑟金斯', '彼得·麦肯齐', '伊恩·穆内', '克雷格·帕克', '卡梅隆·罗德', '约翰·瑞斯-戴维斯', '丽芙·泰勒', '大卫·韦瑟莱', '雨果·维文', '菲利普·格里夫', '威廉·约翰逊', '伊丽莎白·穆迪', '布莱恩·瑟金特', '杰德·布罗菲', '诺曼·凯茨', '兰德尔·威廉·库克', '萨比恩·克洛森', '西奥沙福瓦', '本·弗兰舍姆', '彼得·杰克逊', '艾伦·李', '诺埃尔·阿普利比', 'Michael Elsworth', 'Sarah McLeod', '马丁·桑德森', 'Harry Sinclair', '吉诺·阿赛维多', 'Jarl Benzon', 'Jørn Benzon', 'Ben Britton', 'Jonathan Harding', 'Taea Hartwell', 'Sam Kelly', '姜广涛', '张磊', '周志强', '布雷特·麦肯齐']"
7,黑客帝国,https://movie.douban.com/subject/1291843/,9.1,['美国'],2000-01-14,"['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '雨果·维文', '格洛丽亚·福斯特', '乔·潘托里亚诺', '马库斯·钟', '朱利安·阿拉汗加', '马特·多兰', '贝琳达·麦克洛里', '安东尼雷派克', '罗伯特·泰勒', '阿达·尼科德莫', '罗温·维特', '塔玛拉·布朗', '纳塔莉·特珍', '比尔·扬', '克里斯·斯科特', '纳许·埃哲顿', '张磊', '户田惠子', '童自荣', '保罗·戈达德', '沈晓谦', '金永钢']"
8,让子弹飞,https://movie.douban.com/subject/3742360/,9.0,"['中国大陆', '中国香港']",2010-12-16,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤', '张默', '姜武', '周韵', '廖凡', '姚橹', '邵兵', '苗圃', '冯小刚', '胡军', '马珂', '白冰', '杜奕衡', '李静', '胡明', '危笑', '杨奇雨', '赵铭', '马元', '宣晓鸣', '绀野千春', '郭俊立', '姜洪齐', '吴昔果', '岳红', '沙瑀', '陈磊', '文祥']"
9,搏击俱乐部,https://movie.douban.com/subject/1292000/,9.0,['美国'],1999-09-10,"['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫', '杰瑞德·莱托', '艾恩·贝利', '里奇蒙德·阿奎特', '乔治·马奎尔', '保罗·卡拉夫特斯', 'Tyrone R. Livingston', '劳伦·桑切斯', '马特·温斯顿', '斯图尔特·布拉姆博格', 'Scotch Ellis Loring', 'Andi Carnick', 'Markus Redmond', '大卫·安德鲁斯', '布拉德·雅各布维茨', '以斯拉·巴兹顿', '迈克尔·肖姆斯·维尔斯', '卡尔·西阿法里奥', '鲍勃·斯蒂芬森', '欧根妮·邦杜兰特', '凯文·斯科特·麦克', '埃文·米兰德', 'Bennie Moore', '乔伊·比索奈特', '克里斯蒂娜·卡伯特', '大卫·李·史密斯', '霍特·麦克卡兰尼']"
10,进击的巨人 最终季 完结篇 前篇,https://movie.douban.com/subject/35853587/,9.5,['日本'],2023-03-04,"['梶裕贵', '石川由依', '井上麻里奈', '神谷浩史', '细谷佳正', '下野纮', '三上枝织', '谷山纪章', '朴璐美', '子安武人', '花江夏树', '佐仓绫音', '沼仓爱美', '小野大辅', '小野贤章', '斋贺光希', '高桥研二', '星祐树', '青山穰', '土田大']"
11,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,8.9,"['美国', '英国']",2012-08-27,"['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚', '加里·奥德曼', '迈克尔·凯恩', '摩根·弗里曼', '朱诺·坦普尔', '乔什·平茨', '丹尼尔·逊亚塔', '内斯特·卡博内尔', '伯恩·戈曼', '连姆·尼森', '乔伊·金', '艾丹·吉伦', '基里安·墨菲', '乔什·斯图沃特', '马修·莫迪恩', '本·门德尔森', '金锋', '本·科尼什', '克莱尔·茱莉安', '伊恩·鲍汉', '威廉姆·德瓦内', '罗伯特·维斯多姆', '弗瑞德里克·林恩', '罗伯·布朗', '艾伦·萨吉尼亚', '约翰·诺兰', '加里·西弗斯', '约翰·麦克米兰', '杰克·卡鲁索', '迪索·拉莫斯', '杰伊·本尼迪克特', '英迪娅·沃兹沃思', '托马斯·图尔', '阿拉米斯·奈特', '特雷弗·怀特', '约瑟夫·莱尔·泰勒', '阿隆·阿布布尔', '布莱特·卡伦', '拉塞尔·巴洛格', '艾捷拉·埃文斯', '雷吉·李', '托马斯·列农', '戴斯蒙德·哈灵顿', '汤姆·康蒂', '大卫·莫纳汉', '韦德·威廉姆斯']"
