AthleteCode,PrintName,FamilyName,GivenName,GenderCode,OrganisationCode,DisciplineCode,EventEntry,event_count,Id_x,CHI_Description_x,Id_y,CHI_Description_y
SWMMS0001368,曹季扬,曹季扬,,1,BEJ,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,BEJ,北京
SWMMS0001373,丁彦申,丁彦申,,1,BEJ,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",4,SWM,游泳,BEJ,北京
SWMMS0001375,范思翔,范思翔,,1,BEJ,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBF------------------------'}]",2,SWM,游泳,BEJ,北京
SWMMS0001379,何文博,何文博,,1,BEJ,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,BEJ,北京
SWMMS0001384,贾佩奇,贾佩奇,,1,BEJ,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",5,SWM,游泳,BEJ,北京
SWMMS0001385,鞠天宇,鞠天宇,,1,BEJ,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",5,SWM,游泳,BEJ,北京
SWMMS0001388,雷周天何,雷周天何,,1,BEJ,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}]",4,SWM,游泳,BEJ,北京
SWMMS0001389,李伯轩,李伯轩,,1,BEJ,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,BEJ,北京
SWMMS0001392,刘健彤,刘健彤,,1,BEJ,SWM,[{'EventCode': 'SWMM400MIM------------------------'}],1,SWM,游泳,BEJ,北京
SWMMS0001396,刘昀松,刘昀松,,1,BEJ,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",5,SWM,游泳,BEJ,北京
